               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.017461,           0.0056905,                   0,              0.9995,             0.98462,             0.99485,             0.72677,            0.023209,           0.0042439,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.017292,           0.0055538,                   0,             0.99887,             0.98462,             0.99485,             0.74279,             0.02301,           0.0041385,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.017276,           0.0059102,                   0,             0.99905,             0.98462,             0.99214,             0.73921,            0.023379,           0.0041604,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.017442,           0.0053775,                   0,             0.99929,             0.98462,             0.99442,             0.72005,            0.024134,           0.0042005,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.018071,           0.0054219,                   0,             0.99885,             0.98462,              0.9947,             0.67966,            0.026373,           0.0045362,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.017748,           0.0059522,                   0,              0.9987,             0.98462,             0.99302,             0.69151,            0.024512,           0.0043578,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.017802,           0.0057652,                   0,             0.99885,             0.98462,              0.9923,             0.71251,            0.023178,           0.0041232,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.018842,           0.0059876,                   0,             0.99903,             0.98462,             0.99485,             0.73426,            0.022451,           0.0038705,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.017938,           0.0061797,                   0,              0.9982,             0.98462,             0.99344,             0.71521,            0.024307,           0.0040817,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.016698,           0.0055085,                   0,             0.99795,             0.98462,             0.99429,             0.70906,            0.023863,           0.0040402,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.017714,            0.005483,                   0,             0.99888,             0.98462,              0.9947,             0.70482,            0.023995,           0.0041394,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.016883,           0.0057544,                   0,             0.99881,             0.98462,             0.99485,             0.70454,            0.023551,           0.0041342,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.018204,           0.0057452,                   0,             0.99878,             0.98462,              0.9947,              0.6992,            0.023815,           0.0043645,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.016878,             0.00582,                   0,                   1,             0.99927,               0.995,             0.74335,            0.023156,           0.0040874,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.017214,           0.0055063,                   0,             0.99655,             0.98462,             0.99265,             0.74249,            0.023035,           0.0038004,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.018186,            0.005944,                   0,                   1,             0.96598,             0.99301,             0.71656,            0.024011,           0.0046744,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.018188,           0.0056278,                   0,                   1,             0.98337,             0.99333,             0.70949,            0.024083,           0.0045152,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.017341,           0.0055773,                   0,                   1,               0.999,               0.995,             0.73041,            0.022788,           0.0039907,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.018196,           0.0057623,                   0,             0.98482,             0.99799,             0.99485,             0.73461,            0.021978,           0.0040126,                   0,           0.0073864,           0.0073864,           0.0073864
