               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.026198,            0.021772,                   0,             0.65817,              0.5443,             0.60464,             0.36911,            0.029141,            0.014091,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.025064,             0.02101,                   0,             0.67486,             0.53165,             0.54806,             0.35251,             0.02996,            0.014227,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.026627,            0.020801,                   0,             0.60365,             0.55696,             0.51696,             0.31968,            0.030904,            0.015212,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.024882,            0.020138,                   0,             0.53172,             0.55696,             0.49018,             0.29637,             0.03015,            0.016291,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.024343,            0.020973,                   0,             0.57729,             0.46835,             0.47276,             0.25606,            0.030881,            0.017339,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,             0.02649,            0.020316,                   0,             0.57014,             0.60759,             0.53229,             0.33303,            0.030361,             0.01629,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.027311,            0.021582,                   0,             0.34784,             0.32911,             0.29152,             0.15691,            0.037765,            0.018976,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,             0.02444,            0.020102,                   0,             0.42415,             0.51283,             0.40072,             0.20863,            0.033215,            0.017579,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.024091,            0.019111,                   0,             0.45219,             0.53165,             0.47152,             0.28066,            0.033687,            0.014987,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.026057,            0.021923,                   0,             0.50289,             0.55066,              0.4953,             0.33869,            0.031666,            0.014583,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.025394,            0.021732,                   0,             0.44956,             0.52729,             0.44627,             0.28145,            0.035397,            0.015319,                   0,           0.0087526,           0.0087526,           0.0087526
